artists,country,popularity,is_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,artist_count,artists_list
"humlan djojj, josefine götestam",SE,67,False,0.493,0.0509,10,-20.307,1,0.0312,0.982,0.0252,0.125,0.0975,81.005,4,161.481,2,"['humlan djojj', 'josefine götestam']"
"wizthemc, bees & honey",SE,94,False,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4,176.965,2,"['wizthemc', 'bees & honey']"
"alex warren, jelly roll",SE,90,False,0.621,0.779,4,-6.346,0,0.056,0.255,0.0,0.0683,0.513,127.925,4,182.008,2,"['alex warren', 'jelly roll']"
roc boyz,SE,66,True,0.594,0.909,2,-5.711,1,0.0687,0.0446,8.12e-06,0.762,0.597,160.097,4,138.187,1,['roc boyz']
mares,SE,65,False,0.718,0.702,1,-6.845,0,0.0324,0.0184,1.27e-05,0.388,0.357,103.934,4,202.409,1,['mares']
"humlan djojj, josefine götestam",SE,66,False,0.304,0.0124,2,-23.813,1,0.037,0.995,0.856,0.104,0.12,68.317,3,114.124,2,"['humlan djojj', 'josefine götestam']"
bolaget,SE,67,False,0.617,0.529,0,-7.931,1,0.0957,0.498,0.0,0.553,0.501,165.015,4,137.727,1,['bolaget']
"fjellrev, kudos",SE,69,True,0.609,0.824,1,-3.983,0,0.108,0.335,0.0,0.129,0.868,149.863,4,113.4,2,"['fjellrev', 'kudos']"
victor leksell,SE,68,False,0.764,0.536,7,-4.805,1,0.0686,0.298,0.0,0.149,0.362,95.046,4,147.8,1,['victor leksell']
oskar linnros,SE,65,False,0.599,0.803,10,-6.695,1,0.0507,0.0224,0.0342,0.0909,0.392,143.013,4,193.36,1,['oskar linnros']
alex warren,PT,95,False,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3,186.964,1,['alex warren']
plutonio,PT,68,False,0.676,0.621,11,-7.055,0,0.288,0.451,2.19e-06,0.143,0.21,65.301,3,188.593,1,['plutonio']
vizinhos,PT,65,False,0.713,0.487,11,-10.438,1,0.0392,0.349,0.0,0.102,0.521,114.034,4,160.625,1,['vizinhos']
"dj caio vieira, mc meno k, mc rodrigo do cn",PT,81,True,0.945,0.661,9,-2.343,0,0.356,0.216,0.0,0.0698,0.773,130.069,4,132.922,3,"['dj caio vieira', 'mc meno k', 'mc rodrigo do cn']"
"dj malvado, dj aka-m, doddy",PT,70,False,0.893,0.543,8,-5.879,0,0.07,0.115,4.72e-05,0.0919,0.78,124.038,4,256.483,3,"['dj malvado', 'dj aka-m', 'doddy']"
napa,PT,79,False,0.568,0.455,6,-7.931,1,0.0275,0.15,0.00027,0.152,0.412,75.504,4,179.996,1,['napa']
"dg e batidão stronda, mc davi, j. eskine, mc g15",PT,85,False,0.745,0.881,4,-2.964,0,0.0335,0.192,0.0,0.0639,0.967,140.047,4,144.0,4,"['dg e batidão stronda', 'mc davi', 'j. eskine', 'mc g15']"
calema,PT,64,False,0.663,0.564,6,-8.569,0,0.238,0.318,0.0,0.415,0.685,94.84,4,186.922,1,['calema']
"w sound, beéle, ovy on the drums",PT,95,True,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4,150.001,3,"['w sound', 'beéle', 'ovy on the drums']"
"kew, dj lk da escócia",PT,85,True,0.84,0.72,9,-4.23,1,0.0538,0.143,3.36e-05,0.0587,0.828,130.029,4,111.653,2,"['kew', 'dj lk da escócia']"
bad bunny,PT,97,True,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,237.117,1,['bad bunny']
"nilo, mc paiva zs, dj di marques, tropa da w&s, famouskyo",PT,83,False,0.635,0.636,5,-3.72,1,0.309,0.636,0.0,0.317,0.691,128.528,4,174.11,5,"['nilo', 'mc paiva zs', 'dj di marques', 'tropa da w&s', 'famouskyo']"
"wizthemc, bees & honey",PT,94,False,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4,176.965,2,"['wizthemc', 'bees & honey']"
"oruam, zé felipe, mc tuto, dj lc da roça, mc rodrigo do cn, mc k9, mc pl alves",PT,81,True,0.905,0.861,11,-2.313,0,0.243,0.0361,1.3e-05,0.0808,0.727,137.195,4,166.861,7,"['oruam', 'zé felipe', 'mc tuto', 'dj lc da roça', 'mc rodrigo do cn', 'mc k9', 'mc pl alves']"
"repsaj, atlxs, mc jhey",PT,86,True,0.67,0.976,1,-2.113,1,0.044,0.027,1.59e-06,0.124,0.34,130.103,4,103.727,3,"['repsaj', 'atlxs', 'mc jhey']"
"deejay telio, wet bed gang",PT,59,False,0.776,0.679,6,-8.179,0,0.33,0.118,0.0,0.102,0.657,130.011,4,263.767,2,"['deejay telio', 'wet bed gang']"
sabrina carpenter,PT,89,True,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4,213.645,1,['sabrina carpenter']
plutonio,PT,65,False,0.65,0.699,1,-7.634,1,0.175,0.306,0.000282,0.118,0.568,91.837,4,237.679,1,['plutonio']
karol g,PT,94,False,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,195.824,1,['karol g']
"dillaz, plutonio",PT,64,False,0.569,0.56,9,-7.768,0,0.13,0.691,3.8e-05,0.293,0.754,139.716,4,211.714,2,"['dillaz', 'plutonio']"
"mc jacaré, dj jhow beats",PT,82,False,0.568,0.614,4,-1.888,0,0.152,0.434,0.0,0.542,0.46,162.56,5,147.221,2,"['mc jacaré', 'dj jhow beats']"
"hugel, topic, arash, daecolm",PT,89,False,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4,214.0,4,"['hugel', 'topic', 'arash', 'daecolm']"
"mizzy miles, slow j, gson",PT,61,False,0.791,0.743,11,-5.043,0,0.271,0.23,0.0,0.199,0.527,145.825,4,161.082,3,"['mizzy miles', 'slow j', 'gson']"
"mizzy miles, van zee, bispo",PT,58,False,0.67,0.529,10,-7.15,0,0.0664,0.493,5.43e-05,0.209,0.324,90.038,4,205.934,3,"['mizzy miles', 'van zee', 'bispo']"
"kew, mc livinho, dj lk da escócia",PT,79,False,0.908,0.965,7,-2.158,1,0.2,0.00569,1.28e-06,0.0608,0.702,135.084,4,106.685,3,"['kew', 'mc livinho', 'dj lk da escócia']"
"dj biel divulga, dj dozabri, mc lekão",PT,71,True,0.963,0.862,0,-4.335,1,0.234,0.544,0.00158,0.193,0.919,130.113,4,201.23,3,"['dj biel divulga', 'dj dozabri', 'mc lekão']"
billie eilish,PT,100,False,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,210.373,1,['billie eilish']
benson boone,PT,93,False,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,180.304,1,['benson boone']
"lady gaga, bruno mars",PT,91,False,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3,251.667,2,"['lady gaga', 'bruno mars']"
bad bunny,PT,94,False,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4,183.685,1,['bad bunny']
lola young,PT,89,True,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4,284.066,1,['lola young']
"dj topo, mc livinho",PT,81,False,0.64,0.588,2,-0.766,0,0.177,0.605,1.51e-05,0.0979,0.379,162.568,5,144.923,2,"['dj topo', 'mc livinho']"
sombr,PT,98,False,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4,199.032,1,['sombr']
calema,PT,63,False,0.664,0.692,0,-6.802,1,0.222,0.271,0.0,0.343,0.579,97.926,4,182.5,1,['calema']
"adam port, stryv, keinemusik, orso, malachiii",PT,89,False,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4,177.598,5,"['adam port', 'stryv', 'keinemusik', 'orso', 'malachiii']"
"mc jvila, mc negão original, dj dael, dj guh mix",PT,82,True,0.882,0.87,11,-1.803,0,0.32,0.319,1.74e-06,0.101,0.75,130.0,4,195.692,4,"['mc jvila', 'mc negão original', 'dj dael', 'dj guh mix']"
beéle,PT,89,False,0.671,0.596,2,-7.565,0,0.0556,0.0871,1.97e-05,0.119,0.497,121.976,4,158.036,1,['beéle']
"tate mcrae, f1 the album",PT,91,False,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4,142.55,2,"['tate mcrae', 'f1 the album']"
"calema, dilsinho",PT,63,False,0.498,0.733,7,-7.334,0,0.137,0.521,0.0,0.0926,0.8,171.96,4,191.168,2,"['calema', 'dilsinho']"
plutonio,PT,61,False,0.701,0.387,8,-10.795,0,0.0955,0.68,0.0,0.361,0.223,98.019,4,245.461,1,['plutonio']
don miguelo,PT,78,False,0.887,0.654,1,-6.583,1,0.0592,0.0473,0.0165,0.0957,0.871,132.938,4,163.759,1,['don miguelo']
bad bunny,PT,96,True,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,367.725,1,['bad bunny']
plutonio,PT,62,False,0.774,0.648,1,-8.196,1,0.209,0.193,0.0,0.0707,0.3,146.044,4,158.114,1,['plutonio']
plutonio,PT,63,False,0.793,0.747,6,-6.632,0,0.0931,0.285,0.000218,0.0873,0.533,100.011,4,197.862,1,['plutonio']
slow j,PT,62,False,0.571,0.718,5,-4.836,1,0.425,0.771,0.0298,0.104,0.491,92.023,4,159.751,1,['slow j']
"mc luuky, mc jvila, dj dael",PT,81,True,0.939,0.701,2,-3.701,1,0.246,0.515,0.000116,0.113,0.863,131.024,4,120.916,3,"['mc luuky', 'mc jvila', 'dj dael']"
"tarisiix, fire hair, wenhard",PT,79,True,0.887,0.5,9,-6.805,0,0.349,0.11,0.0206,0.103,0.58,90.023,3,128.0,3,"['tarisiix', 'fire hair', 'wenhard']"
"nego trufa, dj tc, dj japa nk",PT,81,False,0.768,0.543,7,-5.68,0,0.398,0.644,0.0,0.36,0.795,129.799,4,129.229,3,"['nego trufa', 'dj tc', 'dj japa nk']"
calema,PT,60,False,0.523,0.689,6,-8.764,0,0.136,0.241,0.000174,0.367,0.485,126.148,5,258.223,1,['calema']
