artists,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Fjellrev, Kudos",SE,69,True,113400,0.609,0.824,1,-3.983,0,0.108,0.335,0.0,0.129,0.868,149.863,4
Victor Leksell,SE,68,False,147800,0.764,0.536,7,-4.805,1,0.0686,0.298,0.0,0.149,0.362,95.046,4
Oskar Linnros,SE,65,False,193360,0.599,0.803,10,-6.695,1,0.0507,0.0224,0.0342,0.0909,0.392,143.013,4
Alex Warren,PT,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
Plutonio,PT,68,False,188593,0.676,0.621,11,-7.055,0,0.288,0.451,2.19e-06,0.143,0.21,65.301,3
Vizinhos,PT,65,False,160625,0.713,0.487,11,-10.438,1,0.0392,0.349,0.0,0.102,0.521,114.034,4
"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",PT,81,True,132922,0.945,0.661,9,-2.343,0,0.356,0.216,0.0,0.0698,0.773,130.069,4
"DJ Malvado, DJ Aka-m, DODDY",PT,70,False,256483,0.893,0.543,8,-5.879,0,0.07,0.115,4.72e-05,0.0919,0.78,124.038,4
NAPA,PT,79,False,179996,0.568,0.455,6,-7.931,1,0.0275,0.15,0.00027,0.152,0.412,75.504,4
"DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15",PT,85,False,144000,0.745,0.881,4,-2.964,0,0.0335,0.192,0.0,0.0639,0.967,140.047,4
Calema,PT,64,False,186922,0.663,0.564,6,-8.569,0,0.238,0.318,0.0,0.415,0.685,94.84,4
"W Sound, Beéle, Ovy On The Drums",PT,95,True,150001,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
"Kew, Dj LK da Escócia",PT,85,True,111653,0.84,0.72,9,-4.23,1,0.0538,0.143,3.36e-05,0.0587,0.828,130.029,4
Bad Bunny,PT,97,True,237117,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
"Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo",PT,83,False,174110,0.635,0.636,5,-3.72,1,0.309,0.636,0.0,0.317,0.691,128.528,4
"WizTheMc, bees & honey",PT,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, Mc Rodrigo do CN, MC K9, mc pl alves",PT,81,True,166861,0.905,0.861,11,-2.313,0,0.243,0.0361,1.3e-05,0.0808,0.727,137.195,4
"Repsaj, ATLXS, Mc Jhey",PT,86,True,103727,0.67,0.976,1,-2.113,1,0.044,0.027,1.59e-06,0.124,0.34,130.103,4
"Deejay Telio, Wet Bed Gang",PT,59,False,263767,0.776,0.679,6,-8.179,0,0.33,0.118,0.0,0.102,0.657,130.011,4
Sabrina Carpenter,PT,89,True,213645,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
Plutonio,PT,65,False,237679,0.65,0.699,1,-7.634,1,0.175,0.306,0.000282,0.118,0.568,91.837,4
KAROL G,PT,94,False,195824,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
"Dillaz, Plutonio",PT,64,False,211714,0.569,0.56,9,-7.768,0,0.13,0.691,3.8e-05,0.293,0.754,139.716,4
"Mc Jacaré, DJ JHOW BEATS",PT,82,False,147221,0.568,0.614,4,-1.888,0,0.152,0.434,0.0,0.542,0.46,162.56,5
"HUGEL, Topic, Arash, Daecolm",PT,89,False,214000,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
"Mizzy Miles, Slow J, Gson",PT,61,False,161082,0.791,0.743,11,-5.043,0,0.271,0.23,0.0,0.199,0.527,145.825,4
"Mizzy Miles, Van Zee, Bispo",PT,58,False,205934,0.67,0.529,10,-7.15,0,0.0664,0.493,5.43e-05,0.209,0.324,90.038,4
"Kew, Mc Livinho, Dj LK da Escócia",PT,79,False,106685,0.908,0.965,7,-2.158,1,0.2,0.00569,1.28e-06,0.0608,0.702,135.084,4
"DJ Biel Divulga, DJ Dozabri, Mc Lekão",PT,71,True,201230,0.963,0.862,0,-4.335,1,0.234,0.544,0.00158,0.193,0.919,130.113,4
Billie Eilish,PT,100,False,210373,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
Benson Boone,PT,93,False,180304,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
"Lady Gaga, Bruno Mars",PT,91,False,251667,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
Bad Bunny,PT,94,False,183685,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
Lola Young,PT,89,True,284066,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
"DJ TOPO, Mc Livinho",PT,81,False,144923,0.64,0.588,2,-0.766,0,0.177,0.605,1.51e-05,0.0979,0.379,162.568,5
sombr,PT,98,False,199032,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
Calema,PT,63,False,182500,0.664,0.692,0,-6.802,1,0.222,0.271,0.0,0.343,0.579,97.926,4
"Adam Port, Stryv, Keinemusik, Orso, Malachiii",PT,89,False,177598,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
"MC Jvila, Mc Negão Original, DJ Dael, DJ Guh Mix",PT,82,True,195692,0.882,0.87,11,-1.803,0,0.32,0.319,1.74e-06,0.101,0.75,130.0,4
Beéle,PT,89,False,158036,0.671,0.596,2,-7.565,0,0.0556,0.0871,1.97e-05,0.119,0.497,121.976,4
"Tate McRae, F1 The Album",PT,91,False,142550,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
"Calema, Dilsinho",PT,63,False,191168,0.498,0.733,7,-7.334,0,0.137,0.521,0.0,0.0926,0.8,171.96,4
Plutonio,PT,61,False,245461,0.701,0.387,8,-10.795,0,0.0955,0.68,0.0,0.361,0.223,98.019,4
Don Miguelo,PT,78,False,163759,0.887,0.654,1,-6.583,1,0.0592,0.0473,0.0165,0.0957,0.871,132.938,4
Bad Bunny,PT,96,True,367725,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
Plutonio,PT,62,False,158114,0.774,0.648,1,-8.196,1,0.209,0.193,0.0,0.0707,0.3,146.044,4
Plutonio,PT,63,False,197862,0.793,0.747,6,-6.632,0,0.0931,0.285,0.000218,0.0873,0.533,100.011,4
Slow J,PT,62,False,159751,0.571,0.718,5,-4.836,1,0.425,0.771,0.0298,0.104,0.491,92.023,4
"MC LUUKY, MC Jvila, DJ Dael",PT,81,True,120916,0.939,0.701,2,-3.701,1,0.246,0.515,0.000116,0.113,0.863,131.024,4
"tarisiix, fire hair, WenHard",PT,79,True,128000,0.887,0.5,9,-6.805,0,0.349,0.11,0.0206,0.103,0.58,90.023,3
"Nego Trufa, Dj TC, DJ Japa NK",PT,81,False,129229,0.768,0.543,7,-5.68,0,0.398,0.644,0.0,0.36,0.795,129.799,4
Calema,PT,60,False,258223,0.523,0.689,6,-8.764,0,0.136,0.241,0.000174,0.367,0.485,126.148,5
"Chefin, LB Único",PT,79,True,162461,0.791,0.819,9,-2.283,0,0.188,0.513,0.0,0.0811,0.709,130.005,4
"Sentino, BNP",PL,53,False,217850,0.591,0.515,0,-8.105,0,0.396,0.272,0.0,0.118,0.627,129.968,4
"Ekipa, MODELKI, Qry, WERSOW, Mortal, Vłodarski, Świeży",PL,56,False,145403,0.803,0.755,11,-8.291,0,0.211,0.273,0.0,0.238,0.574,124.021,4
"Sobel, francis",PL,76,False,148187,0.423,0.687,7,-7.865,0,0.223,0.00571,0.0,0.106,0.254,148.419,4
Żabson,PL,74,True,166567,0.69,0.601,10,-9.346,1,0.0555,0.005,0.0,0.308,0.153,146.002,4
"Dawid Podsiadło, Kaśka Sochacka, ZORZA",PL,58,False,244373,0.627,0.633,6,-7.179,0,0.0338,0.503,5.62e-05,0.109,0.438,126.058,4
"Sobel, SHDØW, francis",PL,73,False,150545,0.719,0.584,1,-12.63,1,0.0941,0.0319,0.0,0.315,0.575,110.01,4
Alex Warren,PL,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
"Sentino, BNP, Amadeusz Ferrari",PL,51,False,170671,0.816,0.538,7,-8.905,0,0.158,0.572,0.00048,0.112,0.38,135.025,4
"Mata, Maryla Rodowicz",PL,73,True,234666,0.703,0.729,1,-6.805,1,0.271,0.0983,0.0,0.0785,0.736,90.326,4
"Zippy Ogar, @atutowy, Nowe Rozdanie",PL,69,True,168965,0.689,0.666,7,-5.377,0,0.234,0.133,0.0,0.315,0.41,155.128,4
"Pezet, Auer",PL,70,True,195704,0.47,0.637,9,-8.33,0,0.187,0.17,7.65e-05,0.12,0.554,88.827,4
"MODELKI, Vłodarski",PL,71,False,123750,0.802,0.761,1,-5.208,0,0.0701,0.699,0.0,0.121,0.698,127.997,4
"Sobel, francis, Deemz",PL,67,False,152386,0.61,0.685,6,-8.319,1,0.0354,0.189,0.0,0.12,0.583,120.015,4
"po prostu Kajtek, Zippy Ogar, Shelast, matiorzel, Nowe Rozdanie",PL,69,True,186929,0.543,0.799,1,-4.786,1,0.373,0.115,0.0,0.105,0.526,145.116,4
"Ekipa, FRIZ, Kacper Blonsky, Postirol, Kartonii",PL,48,True,184500,0.679,0.764,8,-7.821,0,0.271,0.625,0.0,0.247,0.721,159.921,4
sombr,PL,96,False,182088,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4
"po prostu Kajtek, Kubi Producent, Nowe Rozdanie",PL,68,True,187176,0.39,0.704,6,-8.22,0,0.0944,0.454,0.0,0.188,0.288,134.789,4
sombr,PL,98,False,199032,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
"Sobel, francis",PL,68,False,170624,0.716,0.645,11,-5.92,0,0.0372,0.00642,0.0,0.088,0.34,95.973,4
"Tate McRae, F1 The Album",PL,91,False,142550,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
"Bajorson, Dawid Obserwator, Dj Killer, David Tango",PL,70,False,222620,0.786,0.837,7,-7.087,0,0.084,0.247,1.64e-06,0.0604,0.87,140.04,4
"WizTheMc, bees & honey",PL,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
Ed Sheeran,PL,92,False,162029,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4
Sabrina Carpenter,PL,89,True,213645,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
"Tax Free, CUZCO$, Dj.Frodo",PL,66,True,144000,0.88,0.649,0,-10.747,0,0.132,0.0121,1.66e-05,0.612,0.608,100.013,4
Ravyn Lenae,PL,91,False,213466,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4
White 2115,PL,67,False,162195,0.686,0.634,1,-7.588,1,0.0312,0.219,0.0,0.216,0.445,123.08,4
"Fukaj, charlie moncler, Hubert.",PL,64,False,204221,0.598,0.71,6,-10.342,0,0.0306,0.088,6.83e-06,0.196,0.171,140.044,4
"Dawid Podsiadło, Kaśka Sochacka, ZORZA",PL,57,False,273800,0.594,0.609,10,-8.141,1,0.0408,0.448,0.145,0.0986,0.18,80.984,4
"Kaz Bałagane, Oskar83",PL,66,True,179571,0.792,0.667,11,-7.165,0,0.186,0.0608,0.0,0.114,0.429,139.886,4
Billie Eilish,PL,100,False,210373,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
Żabson,PL,72,True,183018,0.771,0.775,8,-6.298,1,0.185,0.0527,0.0,0.156,0.217,146.977,4
Młody West,PL,69,True,138857,0.721,0.596,11,-8.89,1,0.472,0.022,0.0,0.11,0.165,76.089,4
Kaśka Sochacka,PL,65,False,232171,0.544,0.703,1,-8.914,1,0.0362,0.0439,0.00347,0.0851,0.455,129.979,4
"MODELKI, Vłodarski",PL,66,False,128000,0.818,0.607,9,-9.827,0,0.186,0.389,2.37e-06,0.099,0.824,150.004,4
