artists,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bresh,IT,54,False,208000,0.386,0.741,0,-6.176,1,0.0845,0.21,0.0,0.167,0.186,118.001,4
Bad Bunny,IT,97,True,237117,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
Alex Warren,IT,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
"Bresh, Kid Yugi",IT,61,False,161496,0.619,0.586,6,-8.167,1,0.17,0.213,0.0,0.608,0.385,100.221,4
Lazza,IT,75,True,189642,0.704,0.738,6,-5.813,0,0.0581,0.0373,0.0,0.13,0.341,125.963,4
"Serena Brancale, Alessandra Amoroso",IT,67,False,188373,0.661,0.825,1,-4.65,0,0.0967,0.22,0.0,0.0803,0.551,119.938,4
Annalisa,IT,74,False,204738,0.675,0.941,8,-2.816,1,0.0676,0.00454,0.0,0.145,0.812,133.975,4
"Luchè, Sfera Ebbasta, Simba La Rue",IT,74,True,245853,0.561,0.665,8,-4.031,1,0.0828,0.0118,0.0,0.11,0.35,119.925,4
"Fred De Palma, Baby Gang",IT,71,True,140160,0.825,0.895,3,-3.582,0,0.0587,0.11,0.0,0.106,0.626,125.011,4
Pinguini Tattici Nucleari,IT,67,True,217213,0.595,0.761,9,-4.619,1,0.0491,0.0634,0.0,0.182,0.337,88.001,4
"Sfera Ebbasta, Shiva",IT,77,True,180863,0.563,0.771,5,-4.399,0,0.271,0.116,0.0,0.118,0.478,169.956,4
Bad Bunny,IT,94,False,183685,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
Cesare Cremonini,IT,71,False,303032,0.738,0.598,5,-7.002,1,0.0359,0.203,0.0,0.0972,0.475,118.028,4
Marracash,IT,74,True,223009,0.616,0.695,9,-6.953,1,0.268,0.55,0.0,0.0804,0.0686,130.169,4
Alfa,IT,71,False,187403,0.496,0.65,4,-6.109,1,0.0558,0.0846,0.0,0.424,0.542,169.918,3
Bresh,IT,59,False,200590,0.87,0.468,5,-10.6,1,0.0792,0.235,0.0,0.093,0.405,124.994,4
"Baby Gang, Omega, Higashi, Roberto Ferrante",IT,74,False,214285,0.774,0.698,11,-9.516,0,0.0594,0.0146,0.0,0.0963,0.929,112.021,4
"Cesare Cremonini, Elisa",IT,64,False,267313,0.587,0.736,10,-5.585,1,0.0323,0.0131,0.0,0.244,0.299,124.958,4
Giorgia,IT,77,False,215821,0.595,0.567,2,-4.481,1,0.0349,0.504,0.0,0.0967,0.49,142.824,4
"Olly, Angelina Mango, Juli",IT,72,False,212853,0.584,0.616,10,-6.663,1,0.0764,0.462,0.0,0.0916,0.49,97.035,4
"Olly, Juli",IT,75,False,180137,0.369,0.505,5,-8.783,1,0.129,0.51,0.0,0.154,0.569,179.501,3
"Guè, Rose Villain",IT,75,True,168240,0.811,0.758,6,-6.08,0,0.249,0.276,0.0,0.0656,0.464,101.94,4
"Sfera Ebbasta, Shiva",IT,77,True,182245,0.914,0.661,5,-5.578,0,0.112,0.058,0.0,0.0932,0.792,105.009,4
KAROL G,IT,94,False,195824,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
"Olly, Juli",IT,70,False,212148,0.354,0.472,4,-7.465,1,0.0457,0.511,0.0,0.211,0.774,88.545,4
Gaia,IT,66,False,217613,0.799,0.762,5,-4.907,0,0.0577,0.431,0.000112,0.0808,0.386,118.034,4
"Bresh, SHUNE",IT,51,False,200080,0.545,0.597,8,-7.878,1,0.0308,0.241,0.0,0.107,0.707,103.848,4
"Golden Years, Frah Quintale, nayt, prima stanza a destra",IT,67,False,147587,0.632,0.671,7,-5.885,1,0.0459,0.717,1.49e-06,0.355,0.524,120.07,4
Artie 5ive,IT,73,True,211647,0.277,0.872,8,-7.001,1,0.402,0.257,0.0,0.347,0.366,172.975,4
Elodie,IT,62,False,211875,0.757,0.87,0,-4.834,1,0.149,0.305,0.000329,0.304,0.378,133.983,4
"Shablo, Geolier, Sfera Ebbasta",IT,72,False,180000,0.703,0.704,6,-6.117,0,0.0641,0.048,0.0,0.41,0.725,139.933,4
Achille Lauro,IT,68,False,188918,0.459,0.548,7,-7.113,0,0.0342,0.15,0.0,0.299,0.389,75.061,4
Rose Villain,IT,67,True,221403,0.713,0.656,0,-4.768,0,0.0749,0.126,0.0,0.101,0.185,121.942,4
"Olly, Juli",IT,72,False,190122,0.668,0.549,3,-8.024,1,0.12,0.599,0.0,0.149,0.386,115.958,4
Nono La Grinta,FR,81,True,172259,0.831,0.854,5,-5.52,0,0.0967,0.12,0.0,0.147,0.358,124.003,4
Hamza,FR,86,True,137173,0.906,0.402,0,-8.708,0,0.474,0.075,0.0,0.118,0.746,140.103,4
Damso,FR,79,True,190373,0.643,0.648,5,-7.307,0,0.125,0.205,1.51e-06,0.126,0.64,187.577,3
"KeBlack, Guy2Bezbar",FR,78,True,156676,0.603,0.782,6,-5.86,0,0.165,0.0319,0.0,0.0452,0.497,121.029,4
GIMS,FR,80,False,167813,0.805,0.57,7,-9.007,0,0.101,0.175,3.38e-06,0.115,0.867,122.984,4
KeBlack,FR,75,True,171537,0.752,0.694,11,-7.437,0,0.117,0.151,0.0713,0.132,0.696,127.045,4
Jul,FR,82,True,219293,0.718,0.894,8,-4.347,0,0.0551,0.0218,0.000185,0.0903,0.725,109.67,4
Siaka,FR,79,False,185693,0.79,0.575,3,-9.229,0,0.283,0.767,2.82e-06,0.109,0.444,137.108,4
"SEYSEY, BOLEMVN",FR,75,True,179757,0.655,0.821,7,-5.372,0,0.0445,0.765,0.00891,0.0924,0.666,105.059,3
"Werenoi, GIMS",FR,81,False,173538,0.8,0.729,4,-5.69,0,0.112,0.0921,0.0,0.128,0.708,129.926,4
"Damso, SARAH SEY",FR,76,True,215813,0.804,0.608,8,-6.753,0,0.209,0.212,0.000132,0.144,0.359,127.023,4
Jul,FR,77,True,204973,0.862,0.795,7,-5.634,0,0.162,0.289,4.72e-06,0.187,0.574,132.965,4
"Booba, SDM",FR,74,True,178401,0.785,0.692,1,-5.756,0,0.339,0.406,0.0,0.0559,0.649,112.035,4
L2B,FR,75,True,165653,0.825,0.554,5,-9.631,0,0.395,0.239,0.0,0.0459,0.763,93.021,3
GIMS,FR,78,False,186461,0.797,0.605,4,-9.587,0,0.0769,0.129,0.0,0.13,0.874,129.933,4
Alex Warren,FR,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
"DJ Kawest, Attachingboy",FR,74,False,129056,0.877,0.49,1,-7.178,1,0.29,0.554,9.37e-06,0.0886,0.434,99.974,4
GIMS,FR,78,False,165978,0.917,0.658,1,-7.253,1,0.0933,0.0896,9.78e-06,0.0733,0.795,127.936,4
"GIMS, DYSTINCT",FR,80,False,188818,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73e-06,0.1,0.707,119.96,4
Damso,FR,76,True,200706,0.774,0.503,8,-7.733,0,0.0504,0.371,3.4e-05,0.237,0.331,123.032,4
"1D1R, Vacra",FR,71,False,193401,0.796,0.666,0,-8.2,0,0.14,0.627,0.0498,0.0989,0.577,119.952,4
L2B,FR,73,True,180973,0.742,0.587,1,-8.698,1,0.114,0.0333,0.0,0.139,0.625,115.994,4
Jul,FR,78,True,232706,0.934,0.646,8,-6.686,0,0.0972,0.435,0.0,0.0874,0.861,126.036,4
Werenoi,FR,78,True,210247,0.722,0.545,11,-6.346,0,0.0343,0.429,0.0,0.101,0.374,121.048,4
Charlotte Cardin,FR,60,False,163472,0.727,0.643,6,-5.523,0,0.0545,0.106,0.0,0.0895,0.684,111.077,4
"Rim'K, SDM",FR,77,False,179253,0.575,0.656,9,-5.888,0,0.171,0.323,5.16e-05,0.142,0.649,126.065,4
"Anyme023, Shaydee's",FR,76,True,147692,0.817,0.513,10,-12.043,1,0.461,0.578,4.37e-06,0.243,0.646,103.902,4
"Theodora, Jul",FR,69,True,162041,0.811,0.864,8,-4.35,0,0.0759,0.366,8.2e-05,0.109,0.841,150.054,4
"Damso, I.A.",FR,75,True,180360,0.65,0.625,3,-6.439,0,0.0613,0.195,0.000368,0.101,0.606,190.001,4
"WizTheMc, bees & honey",FR,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
Lola Young,FR,89,True,284066,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
SDM,FR,78,True,183813,0.489,0.586,9,-7.218,0,0.327,0.0837,0.0,0.162,0.0892,89.493,4
Ed Sheeran,FR,92,False,162029,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4
Damso,FR,75,True,228573,0.872,0.464,1,-8.904,0,0.277,0.134,0.0,0.12,0.408,119.007,4
GIMS,FR,73,False,180923,0.808,0.55,5,-7.854,0,0.119,0.0268,0.0,0.245,0.822,129.967,4
"GIMS, KeBlack",FR,70,False,173445,0.732,0.717,6,-8.365,0,0.361,0.305,0.0,0.109,0.664,119.055,4
TKS 2G,FR,67,True,164600,0.895,0.375,10,-13.085,0,0.057,0.285,0.0,0.108,0.681,102.012,4
"Theodora, Guy2Bezbar",FR,68,True,130699,0.883,0.879,6,-2.722,0,0.134,0.119,5.39e-05,0.0911,0.841,130.086,4
Doechii,FR,85,True,249302,0.807,0.596,0,-6.818,1,0.0394,0.321,0.000294,0.105,0.881,129.013,4
Theodora,FR,72,True,184988,0.83,0.758,5,-5.86,0,0.0683,0.0531,6.1e-05,0.274,0.538,111.985,4
Werenoi,FR,80,True,230000,0.45,0.647,0,-5.872,0,0.167,0.268,0.0,0.134,0.392,86.116,3
La Mano 1.9,FR,77,True,151168,0.66,0.694,8,-5.14,1,0.203,0.443,0.0,0.29,0.399,77.071,4
Ninho,FR,77,True,183013,0.786,0.596,9,-7.686,0,0.238,0.408,0.000233,0.182,0.514,119.998,4
Jul,FR,79,True,171000,0.939,0.812,2,-6.053,0,0.0751,0.456,0.00028,0.0718,0.891,119.993,4
Bad Bunny,FR,97,True,237117,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
"Aya Nakamura, Joé Dwèt Filé",FR,77,False,207403,0.734,0.699,0,-3.384,1,0.186,0.0885,0.0,0.0926,0.562,159.936,4
Hamza,FR,74,True,225391,0.633,0.649,9,-5.333,0,0.102,0.213,0.0,0.137,0.278,57.32,4
Werenoi,FR,78,True,212093,0.679,0.607,11,-6.72,0,0.161,0.354,0.0,0.159,0.396,91.444,3
Ninho,FR,74,True,188080,0.767,0.832,11,-5.915,0,0.106,0.179,2.27e-05,0.0852,0.946,99.992,4
"ROSÉ, Bruno Mars",FR,89,False,169917,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
"W Sound, Beéle, Ovy On The Drums",ES,95,True,150001,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
Beéle,ES,89,False,158036,0.671,0.596,2,-7.565,0,0.0556,0.0871,1.97e-05,0.119,0.497,121.976,4
"Myke Towers, Quevedo",ES,81,False,218305,0.738,0.606,5,-5.175,0,0.0603,0.253,1.11e-05,0.105,0.628,104.131,4
"Mora, C. Tangana",ES,85,True,222626,0.695,0.848,0,-5.039,0,0.0569,0.383,0.0,0.078,0.878,76.022,4
"Young Cister, Kreamly",ES,82,False,148915,0.711,0.794,5,-4.722,0,0.0996,0.287,0.0,0.348,0.661,117.941,4
"Alleh, Yorghaki",ES,90,False,173858,0.872,0.614,3,-5.618,0,0.181,0.0815,0.000207,0.135,0.785,126.957,4
"Mora, De La Rose",ES,85,True,192853,0.595,0.761,11,-4.966,0,0.042,0.592,0.0,0.202,0.367,111.926,4
"Nicky Jam, Beéle",ES,86,False,213333,0.724,0.726,4,-4.077,0,0.0416,0.0451,0.0,0.12,0.332,107.865,4
"Delaossa, Quevedo, Bigla The Kid",ES,78,False,246974,0.73,0.731,6,-6.539,1,0.29,0.36,0.0,0.104,0.634,106.964,4
"Beéle, Ovy On The Drums",ES,84,False,159404,0.637,0.648,7,-5.306,0,0.271,0.403,5.41e-05,0.119,0.441,123.108,4
Bad Gyal,ES,66,False,145506,0.667,0.759,11,-5.495,0,0.153,0.19,0.0,0.0811,0.36,179.996,4
Aitana,ES,77,False,185869,0.533,0.318,9,-8.149,1,0.0427,0.928,3.38e-05,0.091,0.34,120.889,5
"JC Reyes, Dei V",ES,83,False,175200,0.774,0.751,6,-4.984,0,0.0738,0.215,0.000159,0.0769,0.579,99.992,4
Aitana,ES,72,False,175584,0.677,0.613,2,-4.768,1,0.0314,0.0264,0.0,0.0652,0.595,116.969,3
"Bad Bunny, Omar Courtz, Dei V",ES,92,True,235336,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
Bad Bunny,ES,96,True,367725,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
"JC Reyes, David Marley",ES,72,False,146000,0.837,0.536,5,-5.933,1,0.118,0.669,0.00117,0.136,0.614,120.053,4
"Emilia, TINI, Nicki Nicole",ES,85,False,182282,0.778,0.787,9,-2.447,0,0.0478,0.245,0.000106,0.111,0.957,137.994,4
"JC Reyes, De La Rose, MC Menor JP",ES,76,False,184615,0.756,0.76,7,-5.182,0,0.0379,0.655,0.0,0.482,0.914,129.989,4
Yan Block,ES,86,True,153750,0.792,0.498,4,-10.327,0,0.196,0.501,0.165,0.0951,0.14,127.974,4
KAROL G,ES,94,False,195824,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
"Lucho RK, Quevedo",ES,81,False,194680,0.669,0.846,4,-5.32,0,0.0733,0.104,0.0,0.115,0.823,93.955,4
"JC Reyes, Pirlo",ES,72,False,139534,0.59,0.401,8,-7.542,1,0.153,0.499,0.0,0.113,0.301,114.058,5
"Omar Courtz, Bad Gyal",ES,82,True,221373,0.779,0.862,8,-3.235,0,0.0835,0.199,7.57e-06,0.126,0.355,89.998,4
"Slayter, Yan Block, NTG",ES,78,True,194062,0.764,0.568,10,-6.004,0,0.134,0.639,0.0151,0.144,0.674,94.02,4
"Quevedo, Aitana",ES,80,False,213528,0.641,0.827,5,-4.921,0,0.0631,0.157,0.0,0.357,0.722,159.961,4
Bad Bunny,ES,94,False,183685,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
Pablo Chill-E,ES,82,True,200526,0.754,0.692,1,-5.732,1,0.075,0.163,0.0,0.127,0.811,95.015,4
"Quevedo, La Pantera",ES,74,False,181261,0.829,0.786,11,-4.879,0,0.073,0.282,0.000347,0.1,0.618,100.037,4
"Yan Block, TORRRES",ES,86,True,129705,0.716,0.462,5,-9.847,0,0.128,0.68,0.0,0.132,0.626,136.045,4
Bad Bunny,ES,97,True,237117,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
"Mora, Omar Courtz",ES,82,True,242306,0.564,0.619,7,-6.331,1,0.0495,0.737,0.0,0.122,0.403,103.05,4
"De La Rose, Omar Courtz",ES,85,True,271801,0.657,0.666,7,-3.786,1,0.0302,0.243,0.0,0.101,0.19,99.945,4
Bad Bunny,ES,94,True,204768,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
"Danny Ocean, Sech",ES,87,False,130968,0.8,0.681,9,-7.307,1,0.0499,0.163,0.0,0.101,0.523,121.915,4
"Yan Block, Panda Black",ES,85,True,175280,0.435,0.61,1,-8.114,0,0.0895,0.152,1.21e-05,0.142,0.22,118.653,5
"Jombriel, DFZM, Jøtta",ES,92,False,208743,0.815,0.746,10,-4.855,0,0.0528,0.015,2.26e-06,0.056,0.768,92.007,4
Aitana,ES,71,False,220137,0.773,0.714,8,-5.229,1,0.0346,0.0218,0.429,0.0789,0.644,144.957,4
Mora,ES,83,True,237000,0.433,0.733,4,-5.54,0,0.128,0.503,0.0,0.244,0.263,89.405,4
Bad Bunny,ES,93,True,156364,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3
KAROL G,ES,88,True,159452,0.806,0.715,1,-3.539,0,0.0538,0.0115,0.0,0.0756,0.5,97.936,4
Beéle,ES,81,False,131827,0.756,0.721,8,-4.046,0,0.191,0.36,9.88e-06,0.0794,0.715,111.994,4
"Miguel Bueno, Juan Duque",ES,87,False,144000,0.762,0.57,11,-6.598,1,0.0707,0.674,0.0,0.315,0.734,100.015,4
"Myke Towers, Pirlo",ES,70,True,224470,0.838,0.648,7,-7.381,0,0.319,0.0866,6.71e-06,0.183,0.448,101.0,4
"Dei V, De La Rose",ES,77,True,229708,0.428,0.678,1,-7.614,1,0.141,0.227,0.0,0.263,0.586,86.674,4
"Rauw Alejandro, Bad Bunny",ES,91,True,191018,0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,4
"Omar Courtz, De La Rose",ES,86,True,224022,0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,4
"Luck Ra, BM",ES,70,False,134144,0.756,0.769,7,-5.752,1,0.0342,0.0973,0.0,0.279,0.973,149.109,4
"Aitana, Jay Wheeler",ES,73,False,180000,0.758,0.605,5,-6.089,1,0.0983,0.596,0.000137,0.147,0.489,135.013,4
Aitana,ES,71,True,183529,0.791,0.847,6,-5.39,1,0.0574,0.194,0.0,0.206,0.584,135.995,4
"Pashanim, Ceren",DE,85,True,115555,0.746,0.598,11,-10.112,0,0.133,0.0239,0.0126,0.0988,0.537,134.994,4
Alex Warren,DE,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
Jazeek,DE,83,True,138354,0.956,0.674,7,-7.476,0,0.076,0.129,0.0,0.0824,0.852,120.042,4
Zartmann,DE,75,False,110902,0.888,0.791,2,-7.766,1,0.0992,0.256,2.42e-06,0.183,0.821,124.981,4
"Dardan, Morad",DE,69,True,219733,0.773,0.889,5,-4.601,0,0.0507,0.23,0.0,0.227,0.803,119.994,4
Nina Chuba,DE,77,False,164991,0.749,0.754,5,-4.695,0,0.0288,0.0399,0.000343,0.165,0.804,129.018,4
"Aymen, Amo",DE,76,True,119244,0.812,0.843,4,-5.554,0,0.241,0.159,0.0,0.104,0.782,139.99,4
Oimara,DE,81,False,168801,0.739,0.77,7,-3.009,1,0.292,0.0374,8.59e-06,0.356,0.521,169.963,4
RAF Camora,DE,68,False,145023,0.773,0.737,2,-6.867,1,0.0877,0.0999,8.2e-06,0.09,0.169,95.984,4
"MOLIY, Silent Addy, Skillibeng, Shenseea",DE,93,True,178775,0.856,0.548,0,-6.609,0,0.123,0.561,0.0,0.155,0.562,97.997,4
Aymen,DE,79,True,152923,0.82,0.741,11,-6.469,0,0.0714,0.0117,0.000811,0.165,0.783,125.982,4
"WizTheMc, bees & honey",DE,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
"ROSÉ, Bruno Mars",DE,89,False,169917,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
YUNG SAINT PAUL,DE,73,True,192312,0.9,0.569,9,-9.739,1,0.35,0.23,5.5e-05,0.102,0.554,120.079,4
"RAF Camora, reezy",DE,81,False,158012,0.421,0.818,6,-6.083,0,0.273,0.326,0.155,0.166,0.532,186.926,3
"Tream, treamiboii",DE,64,False,157402,0.708,0.881,10,-5.947,0,0.118,0.107,0.0,0.0912,0.687,153.966,5
sombr,DE,98,False,199032,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
Linkin Park,DE,85,True,190427,0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,4
"Tate McRae, F1 The Album",DE,90,False,142550,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
Kraftklub,DE,64,True,186524,0.538,0.64,7,-6.756,1,0.0511,0.497,0.0,0.0975,0.49,185.032,3
Nina Chuba,DE,80,False,138032,0.591,0.435,3,-8.557,1,0.0324,0.607,0.0,0.116,0.289,133.525,4
Ed Sheeran,DE,92,False,162029,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4
Zsá Zsá,DE,79,True,137114,0.585,0.773,1,-5.615,1,0.0677,0.131,1.45e-05,0.323,0.51,170.176,4
"Shindy, Massiv",DE,65,True,167073,0.618,0.647,8,-6.102,1,0.213,0.0138,0.0,0.347,0.172,83.504,4
Roy Bianco & Die Abbrunzati Boys,DE,69,False,235986,0.633,0.783,7,-5.666,1,0.0433,0.012,3.4e-06,0.222,0.414,134.962,4
sombr,DE,96,False,182088,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4
"Ely Oaks, LAVINIA",DE,82,False,118449,0.567,0.876,9,-5.558,1,0.049,0.00109,0.0949,0.406,0.333,154.039,4
ATLXS,DE,92,False,116072,0.602,0.867,1,-5.698,0,0.0312,0.00702,0.00442,0.259,0.399,115.899,4
Ravyn Lenae,DE,90,False,213466,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4
"Nimo, CAPO",DE,64,True,159357,0.743,0.904,7,-3.276,0,0.125,0.147,0.00939,0.192,0.483,95.013,4
"Azet, Bobby Vandamme",DE,77,True,151755,0.8,0.671,11,-6.293,0,0.0796,0.17,0.0,0.205,0.627,135.078,4
"HUGEL, Topic, Arash, Daecolm",DE,89,False,214000,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
Provinz,DE,43,False,201325,0.402,0.489,9,-6.916,1,0.0359,0.431,0.0,0.0768,0.213,171.111,3
reezy,DE,78,True,182797,0.852,0.59,5,-9.754,1,0.198,0.115,0.0124,0.376,0.353,130.033,4
THIZZY52,DE,70,True,181120,0.689,0.749,2,-6.547,1,0.409,0.117,1.04e-06,0.295,0.384,132.318,4
ZAH1DE,DE,74,False,116005,0.958,0.574,10,-6.708,0,0.328,0.027,4.28e-06,0.0905,0.581,109.977,4
Apache 207,DE,76,False,190258,0.611,0.853,8,-5.682,0,0.306,0.00498,8.03e-06,0.104,0.545,163.981,4
"Contec, Lina Maly",DE,76,False,239019,0.641,0.934,11,-3.095,0,0.071,0.00476,0.253,0.0953,0.213,159.998,4
Pashanim,DE,74,False,179106,0.681,0.417,4,-8.172,0,0.111,0.0895,0.0115,0.146,0.158,177.965,4
Pashanim,DE,78,False,114098,0.652,0.612,10,-10.411,0,0.408,0.139,0.00109,0.325,0.474,121.956,4
"Lady Gaga, Bruno Mars",DE,91,False,251667,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
"Kontra K, SDP",DE,63,False,185153,0.486,0.724,8,-5.496,0,0.351,0.0575,0.0,0.119,0.324,94.083,4
Linkin Park,DE,91,False,216880,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4
"Chrystal, NOTION",DE,92,False,233229,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63e-06,0.55,0.237,137.812,4
Lola Young,DE,89,True,284066,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
Billie Eilish,DE,100,False,210373,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
"Selim61, Pashanim",DE,72,True,117669,0.633,0.585,11,-8.927,1,0.284,0.0977,0.000781,0.065,0.551,102.934,4
Sabrina Carpenter,DE,85,True,213645,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
Dardan,DE,76,True,163946,0.7,0.799,4,-6.327,0,0.0427,0.176,0.0,0.408,0.496,120.939,4
Rumbombe,DE,73,True,154493,0.641,0.982,1,-2.775,1,0.197,0.147,0.0,0.269,0.528,144.076,4
Alex Warren,BE,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
Hamza,BE,86,True,137173,0.906,0.402,0,-8.708,0,0.474,0.075,0.0,0.118,0.746,140.103,4
Damso,BE,79,True,190373,0.643,0.648,5,-7.307,0,0.125,0.205,1.51e-06,0.126,0.64,187.577,3
Pommelien Thijs,BE,78,False,180013,0.732,0.558,7,-6.816,1,0.124,0.49,0.0,0.0909,0.637,119.999,4
GIMS,BE,80,False,167813,0.805,0.57,7,-9.007,0,0.101,0.175,3.38e-06,0.115,0.867,122.984,4
Lola Young,BE,89,True,284066,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
Ed Sheeran,BE,92,False,162029,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4
Nono La Grinta,BE,81,True,172259,0.831,0.854,5,-5.52,0,0.0967,0.12,0.0,0.147,0.358,124.003,4
"Damso, SARAH SEY",BE,76,True,215813,0.804,0.608,8,-6.753,0,0.209,0.212,0.000132,0.144,0.359,127.023,4
"WizTheMc, bees & honey",BE,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
"ROSÉ, Bruno Mars",BE,89,False,169917,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
Tommy Cash,BE,79,False,173746,0.678,0.694,11,-6.183,0,0.0487,0.0123,1.62e-05,0.133,0.646,119.87,4
Ravyn Lenae,BE,90,False,213466,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4
sombr,BE,98,False,199032,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
Damso,BE,76,True,200706,0.774,0.503,8,-7.733,0,0.0504,0.371,3.4e-05,0.237,0.331,123.032,4
"Tate McRae, F1 The Album",BE,90,False,142550,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
Benson Boone,BE,93,False,180304,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
"Lady Gaga, Bruno Mars",BE,91,False,251667,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
GIMS,BE,78,False,186461,0.797,0.605,4,-9.587,0,0.0769,0.129,0.0,0.13,0.874,129.933,4
Lord Huron,BE,82,False,208226,0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3
Tom Odell,BE,70,True,244360,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0944,0.131,122.764,4
Gracie Abrams,BE,96,True,166300,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4
sombr,BE,96,False,182088,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4
"GIMS, DYSTINCT",BE,80,False,188818,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73e-06,0.1,0.707,119.96,4
"David Guetta, Sia",BE,87,False,187086,0.739,0.761,9,-5.39,0,0.0904,0.107,0.0,0.131,0.417,127.033,4
Siaka,BE,79,False,185693,0.79,0.575,3,-9.229,0,0.283,0.767,2.82e-06,0.109,0.444,137.108,4
"MOLIY, Silent Addy, Skillibeng, Shenseea",BE,93,True,178775,0.856,0.548,0,-6.609,0,0.123,0.561,0.0,0.155,0.562,97.997,4
Damso,BE,75,True,228573,0.872,0.464,1,-8.904,0,0.277,0.134,0.0,0.12,0.408,119.007,4
Doechii,BE,85,True,249302,0.807,0.596,0,-6.818,1,0.0394,0.321,0.000294,0.105,0.881,129.013,4
